#Kristallwinkel	Rate bei 35kV mit 
#theta/�	R(35kV)/Imp/s

12.5,	6.0
12.6,	6.0
12.7,	6.0
12.8,	6.0
12.9,	6.0
13.0,	7.0
13.1,	7.0
13.2,	7.0
13.3,	6.0
13.4,	7.0
13.5,	9.0
13.6,	10.0
13.7,	12.0
13.8,	13.0
13.9,	12.0
14.0,	10.0
14.1,	12.0
14.2,	12.0
14.3,	11.0
14.4,	9.0
14.5,	12.0
