#Kristallwinkel	Rate bei 35kV mit 
#theta/�	R(35kV)/Imp/s

17.5,	56.0
17.6,	54.0
17.7,	57.0
17.8,	58.0
17.9,	53.0
18.0,	53.0
18.1,	52.0
18.2,	52.0
18.3,	54.0
18.4,	52.0
18.5,	49.0
18.6,	54.0
18.7,	60.0
18.8,	66.0
18.9,	81.0
19.0,	93.0
19.1,	96.0
19.2,	97.0
19.3,	102.0
19.4,	96.0
19.5,	96.0
19.6,	97.0
19.7,	91.0
19.8,	96.0
19.9,	99.0
20.0,	105.0
