# f Uc a phi
20, 0.9, 0.0010, 0.12566
80, 0.85, 0.00050, 0.25132
140, 0.75, 0.00050, 0.43999
200, 0.67, 0.00060, 0.75398
600, 0.35, 0.00030, 1.17809
1000, 0.20, 0.00022, 1.38230
2000, 0.12,  0.00010, 1.25663
9000, 0.02, 0.000026, 1.63362
15000, 0.013, 0.000016, 1.67550
20000, 0.10, 0.000012, 1.50796
