# Frequenz in kkHz
# Spannung in Volt

10.0 & 0.19
10.8 & 0.22
11.5 & 0.22
12.2 & 0.24
12.7 & 0.26
13.3 & 0.29
14.0 & 0.32
14.4 & 0.34
14.9 & 0.36
15.2 & 0.40
16.1 & 0.48
17.1 & 0.60
17.6 & 0.72
18.3 & 0.85
18.7 & 0.95
19.2 & 1.15
19.5 & 1.30 
20.2 & 1.70
20.1 & 1.80
20.5 & 2.60
20.9 & 3.00
21.5 & 13.0
22.0 & 14.0
22.5 & 5.60
23.1 & 2.40
23.5 & 2.00
24.0 & 1.50
24.8 & 1.10
25.2 & 1.00
26.1 & 0.80
26.9 & 0.72
27.6 & 0.60
29.3 & 0.48
29.9 & 0.44
