#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
80	39.02	41.44	40.87	37.23	42.07	43.65	38.17	28.36
81	39.13	41.54	40.96	37.32	42.16	43.74	38.25	28.45
82	39.23	41.64	41.04	37.41	42.25	43.82	38.33	28.54
83	39.33	41.73	41.12	37.49	42.34	43.91	38.41	28.63
84	39.43	41.82	41.20	37.57	42.42	43.99	38.49	28.71
85	39.53	41.91	41.28	37.66	42.51	44.07	38.57	28.80
86	39.62	42.00	41.36	37.73	42.59	44.16	38.66	28.89
87	39.71	42.08	41.43	37.82	42.68	44.24	38.73	28.97
88	39.80	42.17	41.51	37.89	42.76	44.33	38.81	29.06
89	39.89	42.26	41.59	37.98	42.83	44.40	38.89	29.14
90	39.98	42.34	41.67	38.06	42.92	44.48	38.97	29.22
91	40.07	42.44	41.75	38.14	42.99	44.56	39.04	29.30
92	40.16	42.52	41.82	38.21	43.07	44.64	39.12	29.39
93	40.25	42.60	41.90	38.29	43.16	44.72	39.20	29.47
94	40.34	42.69	41.97	38.37	43.24	44.80	39.28	29.55
95	40.43	42.77	42.05	38.45	43.32	44.87	39.36	29.63
96	40.51	42.85	42.13	38.52	43.39	44.95	39.43	29.71
97	40.60	42.93	42.20	38.60	43.47	45.03	39.50	29.79
98	40.68	43.01	42.27	38.67	43.55	45.11	39.58	29.87
99	40.77	43.09	42.34	38.74	43.63	45.18	39.65	29.95
100	40.85	43.17	42.42	38.82	43.71	45.26	39.73	30.03
101	40.93	43.25	42.49	38.89	43.79	45.33	39.81	30.11
102	41.02	43.33	42.57	38.97	43.87	45.41	39.88	30.18
103	41.10	43.41	42.64	39.04	43.93	45.48	39.95	30.27
104	41.18	43.49	42.71	39.11	44.01	45.56	40.03	30.34
105	41.26	43.56	42.78	39.18	44.08	45.63	40.10	30.41
106	41.34	43.64	42.85	39.26	44.16	45.70	40.18	30.49
107	41.42	43.72	42.92	39.33	44.23	45.77	40.25	30.57
108	41.49	43.79	42.99	39.40	44.30	45.84	40.32	30.64
109	41.57	43.87	43.07	39.47	44.37	45.91	40.39	30.72
110	41.65	43.94	43.13	39.54	44.44	45.98	40.46	30.79
111	41.73	44.01	43.20	39.60	44.52	46.05	40.53	30.87
112	41.80	44.09	43.27	39.67	44.59	46.12	40.60	30.94
113	41.88	44.16	43.33	39.74	44.66	46.20	40.67	31.02
114	41.95	44.23	43.40	39.80	44.72	46.26	40.74	31.08
115	42.02	44.31	43.46	39.87	44.79	46.33	40.81	31.16
116	42.10	44.38	43.53	39.94	44.86	46.40	40.88	31.23
117	42.17	44.45	43.59	40.01	44.93	46.46	40.94	31.29
118	42.24	44.52	43.66	40.07	45.00	46.53	41.01	31.37
119	42.31	44.59	43.72	40.14	45.06	46.59	41.08	31.44
120	42.39	44.66	43.79	40.20	45.13	46.66	41.15	31.51
121	42.46	44.72	43.85	40.27	45.19	46.72	41.21	31.59
122	42.53	44.79	43.91	40.33	45.26	46.78	41.28	31.65
123	42.60	44.86	43.98	40.39	45.33	46.85	41.34	31.72
124	42.67	44.93	44.04	40.45	45.39	46.91	41.41	31.79
125	42.74	44.99	44.10	40.51	45.45	46.98	41.47	31.86
126	42.80	45.06	44.17	40.58	45.51	47.04	41.54	31.93
127	42.88	45.12	44.22	40.64	45.57	47.10	41.60	32.00
128	42.94	45.19	44.29	40.70	45.64	47.16	41.67	32.06
129	43.00	45.25	44.35	40.76	45.70	47.22	41.73	32.12
130	43.08	45.32	44.41	40.82	45.75	47.28	41.79	32.19
131	43.14	45.39	44.47	40.88	45.80	47.34	41.85	32.27
132	43.21	45.45	44.53	40.94	45.86	47.39	41.92	32.32
133	43.27	45.51	44.59	41.00	45.92	47.45	41.98	32.39
134	43.34	45.58	44.65	41.06	45.98	47.51	42.04	32.46
135	43.40	45.64	44.71	41.11	46.04	47.57	42.10	32.52
136	43.47	45.71	44.77	41.18	46.10	47.64	42.16	32.59
137	43.53	45.77	44.83	41.23	46.16	47.69	42.23	32.65
138	43.59	45.83	44.89	41.29	46.22	47.75	42.29	32.72
139	43.66	45.89	44.95	41.35	46.28	47.81	42.36	32.78
140	43.72	45.95	45.01	41.41	46.34	47.87	42.42	32.85
141	43.78	46.01	45.05	41.46	46.40	47.93	42.48	32.91
142	43.84	46.07	45.12	41.52	46.46	47.99	42.54	32.97
143	43.90	46.13	45.18	41.58	46.52	48.05	42.60	33.03
144	43.96	46.19	45.23	41.63	46.58	48.11	42.66	33.10
145	44.02	46.25	45.28	41.69	46.64	48.17	42.72	33.16
146	44.07	46.31	45.34	41.74	46.70	48.23	42.78	33.22
147	44.13	46.36	45.40	41.80	46.75	48.28	42.84	33.28
148	44.19	46.42	45.45	41.85	46.81	48.34	42.90	33.35
149	44.25	46.47	45.51	41.90	46.87	48.40	42.96	33.40
150	44.30	46.53	45.56	41.96	46.92	48.45	43.02	33.46
151	44.36	46.59	45.62	42.01	46.98	48.51	43.08	33.52
152	44.41	46.64	45.67	42.07	47.04	48.56	43.14	33.58
153	44.47	46.70	45.72	42.12	47.09	48.62	43.20	33.64
154	44.52	46.75	45.77	42.17	47.15	48.67	43.25	33.71
155	44.58	46.81	45.83	42.22	47.21	48.73	43.31	33.76
156	44.64	46.86	45.88	42.28	47.26	48.79	43.37	33.82
157	44.69	46.91	45.93	42.33	47.31	48.84	43.43	33.88
158	44.75	46.97	45.98	42.38	47.37	48.90	43.48	33.94
159	44.80	47.02	46.03	42.43	47.42	48.94	43.54	34.00
160	44.86	47.08	46.08	42.48	47.47	49.00	43.59	34.05
161	44.90	47.13	46.14	42.53	47.53	49.05	43.64	34.11
162	44.96	47.18	46.19	42.59	47.58	49.10	43.70	34.16
163	45.01	47.24	46.24	42.63	47.63	49.15	43.75	34.22
164	45.05	47.28	46.29	42.68	47.66	49.20	43.81	34.27
165	45.07	47.30	46.33	42.73	47.69	49.24	43.86	34.33
166	45.12	47.35	46.39	42.78	47.76	49.29	43.91	34.38
167	45.18	47.40	46.43	42.83	47.81	49.34	43.97	34.44
168	45.22	47.45	46.48	42.88	47.87	49.39	44.02	34.50
169	45.27	47.50	46.53	42.93	47.93	49.44	44.07	34.55
170	45.33	47.56	46.58	42.97	47.97	49.49	44.13	34.60
171	45.39	47.62	46.63	43.02	48.01	49.54	44.17	34.66
172	45.44	47.67	46.68	43.07	48.06	49.59	44.23	34.71
173	45.49	47.72	46.73	43.12	48.11	49.64	44.29	34.77
174	45.55	47.78	46.78	43.17	48.16	49.68	44.34	34.82
175	45.59	47.83	46.82	43.21	48.20	49.73	44.39	34.87
176	45.65	47.88	46.87	43.26	48.25	49.78	44.44	34.93
177	45.70	47.93	46.92	43.31	48.30	49.83	44.49	34.98
178	45.75	47.98	46.97	43.35	48.35	49.88	44.54	35.03
179	45.80	48.03	47.02	43.40	48.39	49.92	44.59	35.08
180	45.85	48.08	47.06	43.44	48.44	49.97	44.64	35.13
181	45.89	48.12	47.11	43.49	48.49	50.02	44.69	35.18
182	45.94	48.17	47.15	43.54	48.54	50.07	44.73	35.24
183	45.98	48.21	47.19	43.57	48.59	50.11	44.79	35.29
184	46.02	48.26	47.24	43.62	48.63	50.17	44.84	35.34
185	46.06	48.30	47.28	43.66	48.68	50.22	44.89	35.39
186	46.10	48.34	47.33	43.71	48.72	50.26	44.94	35.44
187	46.14	48.38	47.37	43.75	48.76	50.30	44.98	35.49
188	46.18	48.43	47.41	43.80	48.81	50.34	45.03	35.54
