#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 3 (°C)	Temperatur 4 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)	Temperatur 7 (°C)	Temperatur 8 (°C)
1	25.13	24.79	24.85	24.98	24.15	24.06	25.52	26.91
2	25.07	26.08	26.55	24.93	24.27	26.73	25.63	26.85
3	25.23	29.16	30.20	25.14	25.42	31.18	26.56	26.79
4	25.80	32.37	33.89	25.79	27.24	35.02	28.24	26.75
5	26.72	35.24	37.13	26.78	29.29	38.20	30.30	26.72  
6	27.84	37.70	39.89	27.97	31.40	40.86	32.44	26.69
7	29.06	39.81	42.20	29.24	33.47	43.13	34.54	26.70
8	30.30	41.62	44.16	30.54	35.46	45.10	36.53	26.73
9	31.53	43.19	45.82	31.81	37.36	46.85	38.37	26.79
10	32.72	43.32	45.53	33.00	38.96	45.98	39.85	26.88
11	33.67	41.73	43.45	33.92	39.57	43.45	40.49	26.98
12	34.19	39.90	41.22	34.37	39.49	41.27	40.31	27.14
13	34.37	38.28	39.24	34.47	39.09	39.55	39.66	27.30
14	34.35	36.95	37.60	34.36	38.53	38.21	38.78	27.48
15	34.20	35.84	36.28	34.13	37.91	37.12	37.87	27.68
16	33.99	34.96	35.21	33.83	37.27	36.23	36.95	27.86
17	33.74	34.23	34.35	33.51	36.64	35.50	36.09	28.04
18	33.47	33.67	33.69	33.19	36.00	34.92	35.32	28.19
19	33.22	34.82	35.20	32.90	35.65	37.56	34.82	28.32
20	33.25	37.51	38.33	32.92	36.40	41.33	35.26	28.43
21	33.71	40.27	41.45	33.39	37.76	44.53	36.45	28.53
22	34.49	42.71	44.20	34.18	39.35	47.14	38.00	28.63
23	35.45	44.82	46.52	35.15	40.99	49.30	39.68	28.73
24	36.49	46.61	48.47	36.20	42.63	51.15	41.36	28.82
25	37.55	48.15	50.11	37.27	44.21	52.76	42.96	28.94
26	38.60	49.28	51.18	38.30	45.69	53.66	44.40	29.04
27	39.53	48.29	49.67	39.19	46.61	51.36	45.35	29.17
28	40.13	46.38	47.29	39.70	46.58	48.73	45.38	29.33
29	40.34	44.54	45.05	39.80	46.07	46.55	44.78	29.50
30	40.28	42.94	43.13	39.62	45.34	44.83	43.86	29.67
31	40.06	41.62	41.55	39.28	44.53	43.42	42.82	29.85
32	39.76	40.53	40.24	38.87	43.68	42.26	41.76	30.03
33	39.41	39.63	39.19	38.45	42.86	41.30	40.75	30.22
34	39.02	38.90	38.36	38.00	42.02	40.53	39.82	30.39
35	38.66	40.02	39.85	37.59	41.52	43.11	39.20	30.51
36	38.62	42.59	42.86	37.53	42.11	46.66	39.53	30.63
37	39.00	45.20	45.84	37.92	43.31	49.67	40.60	30.74
38	39.69	47.52	48.44	38.63	44.73	52.11	42.03	30.83
